city_name;zipcode;Zusatzziffer;community_name;canton;E;N
Belpberg;3124;0;Belp;BE;7.521;46.867
Belprahon;2744;0;Belprahon;BE;7.406;47.286
Benglen;8121;0;Fällanden;ZH;8.637;47.361
Benken SG;8717;0;Benken (SG);SG;8.999;47.198
Benken ZH;8463;0;Benken (ZH);ZH;8.651;47.652
Bennau;8836;0;Einsiedeln;SZ;8.730;47.149
Bennwil;4431;0;Bennwil;BL;7.781;47.401
Benzenschwil;5636;0;Merenschwand;AG;8.364;47.246
Bercher;1038;0;Bercher;VD;6.709;46.692
Berg (Dägerlen);8471;4;Dägerlen;ZH;8.734;47.566
Berg SG;9305;0;Berg (SG);SG;9.408;47.487
Berg TG;8572;0;Berg (TG);TG;9.197;47.597
Berg TG;8572;0;Berg (TG);TG;9.161;47.581
Berg am Irchel;8415;0;Berg am Irchel;ZH;8.598;47.570
Bergdietikon;8962;0;Bergdietikon;AG;8.380;47.391
Bergün/Bravuogn;7482;0;Bergün/Bravuogn;GR;9.746;46.627
Berikon;8965;0;Berikon;AG;8.377;47.352
Beringen;8222;0;Beringen;SH;8.573;47.699
Berken;3376;2;Berken;BE;7.706;47.226
Berlens;1680;2;Mézières (FR);FR;6.953;46.693
Berlingen;8267;0;Berlingen;TG;9.016;47.674
Bern;3004;0;Bern;BE;7.452;46.980
Bern;3005;0;Bern;BE;7.450;46.939
Bern;3006;0;Bern;BE;7.471;46.946
Bern;3007;0;Bern;BE;7.435;46.939
Bern;3008;0;Bern;BE;7.414;46.945
Bern;3010;0;Bern;BE;7.424;46.947
Bern;3011;0;Bern;BE;7.448;46.947
Bern;3011;0;Bern;BE;7.462;46.954
Bern;3012;0;Bern;BE;7.426;46.962
Bern;3013;0;Bern;BE;7.446;46.956
Bern;3014;0;Bern;BE;7.458;46.962
Bern;3015;0;Bern;BE;7.485;46.940
Bern;3018;0;Bern;BE;7.389;46.934
Bern;3019;0;Bern;BE;7.348;46.931
Bern;3020;0;Bern;BE;7.451;46.947
Bern;3027;0;Bern;BE;7.387;46.956
Berneck;9442;0;Berneck;SG;9.609;47.425
Bernex;1233;0;Bernex;GE;6.070;46.174
Bernhardzell;9304;0;Waldkirch;SG;9.340;47.473
Berolle;1149;0;Berolle;VD;6.337;46.558
Beromünster;6215;0;Beromünster;LU;8.201;47.206
Berschis;8892;0;Walenstadt;SG;9.350;47.108
Bertschikon;8543;0;Wiesendangen;ZH;8.815;47.527
Bertschikon (Gossau ZH);8614;0;Gossau (ZH);ZH;8.757;47.321
Berzona;6661;3;Onsernone;TI;8.662;46.205
Besazio;6863;0;Mendrisio;TI;8.952;45.873
Besenbüren;5627;0;Besenbüren;AG;8.346;47.314
Besencens;1609;2;Saint-Martin (FR);FR;6.870;46.587
Betschwanden;8777;2;Glarus Süd;GL;9.027;46.944
Betten;3991;0;Bettmeralp;VS;8.068;46.377
Bettenhausen;3366;0;Bettenhausen;BE;7.718;47.173
Bettens;1042;4;Bettens;VD;6.577;46.626
Bettingen;4126;0;Bettingen;BS;7.665;47.571
Bettlach;2544;0;Bettlach;SO;7.430;47.203
Bettmeralp;3992;0;Bettmeralp;VS;8.065;46.390
Bettwiesen;9553;0;Bettwiesen;TG;9.029;47.497
Bettwil;5618;0;Bettwil;AG;8.270;47.291
Beurnevésin;2935;0;Beurnevésin;JU;7.137;47.494
Beuson (Nendaz);1996;6;Nendaz;VS;7.327;46.183
Bevaix;2022;0;Bevaix;NE;6.816;46.931
Bever;7502;0;Bever;GR;9.889;46.552
Bever;7502;0;Bever;GR;9.730;46.529
Bex;1880;0;Bex;VD;7.012;46.251
Biasca;6710;0;Biasca;TI;8.972;46.360
Biberen;3206;3;Ferenbalm;BE;7.212;46.939
Biberist;4562;0;Biberist;SO;7.552;47.183
Bibern SH;8242;0;Thayngen;SH;8.677;47.773
Bibern SO;4578;0;Buchegg;SO;7.454;47.148
Biberstein;5023;0;Biberstein;AG;8.081;47.416
Bichelsee;8363;0;Bichelsee-Balterswil;TG;8.921;47.451
Bichwil;9248;0;Oberuzwil;SG;9.137;47.419
Bidogno;6958;0;Capriasca;TI;9.000;46.078
Biel VS;3989;0;Grafschaft;VS;8.216;46.457
Biel-Benken BL;4105;0;Biel-Benken;BL;7.519;47.504
Biel/Bienne;2502;0;Biel/Bienne;BE;7.246;47.142
Biel/Bienne;2503;0;Biel/Bienne;BE;7.251;47.131
Biel/Bienne;2504;0;Biel/Bienne;BE;7.247;47.141
Biel/Bienne;2505;0;Biel/Bienne;BE;7.218;47.134
Bielersee;9999;0;Bielersee (BE);BE;7.179;47.087
Biembach im Emmental;3419;0;Hasle bei Burgdorf;BE;7.616;46.993
Biessenhofen;8580;8;Amriswil;TG;9.260;47.547
Bieudron (Nendaz);1996;2;Nendaz;VS;7.280;46.194
Biezwil;4585;0;Biezwil;SO;7.415;47.117
Bigenthal;3513;0;Walkringen;BE;7.627;46.965
Biglen;3507;0;Biglen;BE;7.629;46.930
Bignasco;6676;0;Cevio;TI;8.609;46.339
Bigorio;6954;1;Capriasca;TI;8.958;46.071
Billens;1681;0;Billens-Hennens;FR;6.900;46.691
Bilten;8865;0;Glarus Nord;GL;9.029;47.149
Binn;3996;0;Binn;VS;8.184;46.365
Binningen;4102;0;Binningen;BL;7.578;47.539
Binz;8122;0;Maur;ZH;8.627;47.357
Bioggio;6934;0;Bioggio;TI;8.912;46.016
Biogno-Beride;6981;12;Croglio;TI;8.842;45.997
Bioley-Magnoux;1407;4;Bioley-Magnoux;VD;6.712;46.727
Bioley-Orjulaz;1042;3;Bioley-Orjulaz;VD;6.597;46.622
Bionnens;1670;2;Ursy;FR;6.855;46.635
Birgisch;3903;1;Naters;VS;7.958;46.319
Birmensdorf ZH;8903;0;Birmensdorf (ZH);ZH;8.445;47.353
Birmenstorf AG;5413;0;Birmenstorf (AG);AG;8.249;47.462
Bironico;6804;0;Monteceneri;TI;8.937;46.115
Birr;5242;1;Birr;AG;8.208;47.435
Birrhard;5244;0;Birrhard;AG;8.241;47.435
Birrwil;5708;0;Birrwil;AG;8.198;47.290
Birsfelden;4127;0;Birsfelden;BL;7.626;47.555
Birwinken;8585;9;Birwinken;TG;9.197;47.584
Bischofszell;9220;0;Bischofszell;TG;9.239;47.494
Bisisthal;6436;2;Muotathal;SZ;8.831;46.944
Bissone;6816;0;Bissone;TI;8.964;45.951
Bister;3983;2;Bister;VS;8.064;46.360
Bitsch;3982;0;Bitsch;VS;8.011;46.337
Bivio;7457;0;Surses;GR;9.652;46.469
Bière;1145;0;Bière;VD;6.333;46.538
Blankenburg;3771;0;Zweisimmen;BE;7.385;46.541
Blatten (Lötschen);3919;0;Blatten;VS;7.817;46.422
Blatten b. Naters;3914;0;Naters;VS;7.981;46.361
Blauen;4223;0;Blauen;BL;7.524;47.450
Blausee-Mitholz;3717;0;Kandergrund;BE;7.675;46.529
Bleienbach;3368;0;Bleienbach;BE;7.761;47.183
Bleiken b. Oberdiessbach;3674;0;Oberdiessbach;BE;7.639;46.816
Blessens;1675;2;Rue;FR;6.840;46.611
Blignou (Ayent);1966;9;Ayent;VS;7.397;46.271
Blitzingen;3989;5;Blitzingen;VS;8.202;46.441
Blonay;1807;0;Blonay;VD;6.894;46.466
Blumenstein;3638;0;Blumenstein;BE;7.525;46.742
Bodio TI;6743;0;Bodio;TI;8.912;46.379
Bofflens;1353;0;Bofflens;VD;6.499;46.703
Bogis-Bossey;1279;2;Bogis-Bossey;VD;6.166;46.354
Bogno;6951;19;Lugano;TI;9.064;46.090
Bolken;4556;2;Bolken;SO;7.666;47.191
Boll;3067;0;Vechigen;BE;7.548;46.954
Bolligen;3065;0;Bolligen;BE;7.496;46.975
Bollingen;8715;0;Rapperswil-Jona;SG;8.894;47.221
Bollion;1470;4;Lully (FR);FR;6.827;46.817
Bollodingen;3366;2;Bettenhausen;BE;7.706;47.166
Boltigen;3766;0;Boltigen;BE;7.394;46.630
Bombinasco;6981;15;Curio;TI;8.833;46.014
Bonaduz;7402;0;Bonaduz;GR;9.395;46.814
Bonau;8554;3;Wigoltingen;TG;9.042;47.584
Boncourt;2926;0;Boncourt;JU;7.013;47.496
Bonfol;2944;0;Bonfol;JU;7.147;47.480
Boningen;4618;0;Boningen;SO;7.855;47.309
Boniswil;5706;0;Boniswil;AG;8.190;47.315
Bonnefontaine;1724;8;Le Mouret;FR;7.202;46.741
Bonstetten;8906;0;Bonstetten;ZH;8.466;47.318
Bonvillars;1427;0;Bonvillars;VD;6.672;46.840
Boppelsen;8113;0;Boppelsen;ZH;8.410;47.471
Borex;1277;0;Borex;VD;6.178;46.379
Borgnone;6658;0;Centovalli;TI;8.616;46.160
Borgonovo;7604;0;Bregaglia;GR;9.606;46.347
Bosco Luganese;6935;0;Bioggio;TI;8.909;46.026
Bosco/Gurin;6685;0;Bosco/Gurin;TI;8.492;46.317
Bossonnens;1615;0;Bossonnens;FR;6.850;46.522
Boswil;5623;0;Boswil;AG;8.309;47.304
Bottens;1041;33;Bottens;VD;6.659;46.621
Bottenwil;4814;0;Bottenwil;AG;8.005;47.285
Botterens;1652;0;Botterens;FR;7.113;46.621
Bottighofen;8598;0;Bottighofen;TG;9.213;47.641
Bottmingen;4103;0;Bottmingen;BL;7.574;47.526
Botyre (Ayent);1966;8;Ayent;VS;7.406;46.277
Boudevilliers;2043;0;Val-de-Ruz;NE;6.890;47.028
Boudry;2017;0;Boudry;NE;6.837;46.951
Bougy-Villars;1172;0;Bougy-Villars;VD;6.354;46.479
Boulens;1063;3;Boulens;VD;6.719;46.682
Bouloz;1699;3;Le Flon;FR;6.884;46.612
Bourg-St-Pierre;1946;0;Bourg-Saint-Pierre;VS;7.213;45.950
Bourguillon;1722;0;Fribourg;FR;7.177;46.800
Bournens;1035;0;Bournens;VD;6.564;46.604
Bourrignon;2803;0;Bourrignon;JU;7.249;47.396
Boussens;1034;0;Boussens;VD;6.583;46.604
Bouveret;1897;0;Port-Valais;VS;6.851;46.385
Boveresse;2113;0;Val-de-Travers;NE;6.601;46.916
Bovernier;1932;0;Bovernier;VS;7.087;46.080
Bowil;3533;0;Bowil;BE;7.698;46.892
Boécourt;2856;0;Boécourt;JU;7.219;47.348
Braggio;6544;0;Calanca;GR;9.125;46.304
Brail;7527;0;Zernez;GR;10.037;46.656
Bramboden;6167;0;Romoos;LU;7.984;46.980
Bramois;1967;0;Sion;VS;7.410;46.234
Bratsch;3957;2;Gampel-Bratsch;VS;7.705;46.322
Braunau;9502;0;Braunau;TG;9.070;47.501
Braunwald;8784;0;Glarus Süd;GL;8.998;46.941
Breganzona;6932;0;Lugano;TI;8.926;46.009
Breil/Brigels;7165;0;Breil/Brigels;GR;9.064;46.769
Breitenbach;4226;0;Breitenbach;SO;7.551;47.403
Bremblens;1121;0;Bremblens;VD;6.518;46.547
Bremgarten AG;5620;0;Bremgarten (AG);AG;8.337;47.355
Bremgarten b. Bern;3047;0;Bremgarten bei Bern;BE;7.434;46.979
Brenles;1683;0;Brenles;VD;6.854;46.671
Breno;6937;0;Alto Malcantone;TI;8.870;46.033
Brent;1817;0;Montreux;VD;6.901;46.458
Brenzikofen;3671;0;Brenzikofen;BE;7.614;46.816
